is_cancelled,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_cancelled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
0,225,1,2,1,0,0,0,0,0,E,D,0,No Deposit,0,Transient,63.03725262406172,0,0
0,72,6,2,2,0,1,0,0,0,A,A,0,No Deposit,0,Transient,71.0294085711419,0,0
1,73,2,2,3,0,0,0,0,0,A,I,0,No Deposit,0,Transient,114.82541959016538,0,0
0,98,2,5,2,-1,0,0,0,0,G,A,13,No Deposit,0,Transient,132.69590007229152,0,1
1,1,0,5,1,0,0,0,0,0,A,B,0,No Deposit,0,Transient,46.149532807957904,0,0
0,46,1,7,2,0,0,0,0,0,A,D,0,No Deposit,0,Transient-Party,67.22076457171495,0,1
0,0,2,1,1,0,0,0,0,0,A,E,0,No Deposit,0,Transient,92.15472956608333,0,0
1,39,1,5,2,0,0,0,0,0,A,A,1,No Deposit,0,Transient,114.68400838906854,0,1
1,184,2,3,2,3,1,0,0,0,D,A,0,No Deposit,0,Transient,128.25799668213065,0,0
0,0,1,1,3,-1,0,0,0,0,E,K,0,No Deposit,0,Transient,21.183233953372195,0,0
1,239,0,2,1,0,0,0,0,0,F,E,0,No Deposit,0,Transient,63.74140076369128,0,0
0,69,0,2,2,0,0,0,0,0,A,A,1,No Deposit,0,Transient-Party,24.157818180378978,0,2
0,61,2,1,2,0,0,0,1,0,B,D,0,Non Refund,0,Group,130.41362978701477,0,0
0,0,0,2,3,0,0,0,0,48,A,D,0,No Deposit,0,Transient,93.42209542139135,0,0
0,104,0,2,2,0,0,0,0,0,A,D,0,No Deposit,0,Transient,88.8955419220833,0,0
1,542,1,2,2,0,0,0,0,0,F,D,0,Refundable,0,Transient,68.32891601253078,0,0
0,0,0,3,1,0,0,0,0,0,A,F,1,No Deposit,0,Transient,200.8694297207453,0,0
0,0,1,1,1,0,0,0,0,48,F,A,1,No Deposit,0,Transient,136.09108347897308,2,2
1,213,0,1,2,0,0,0,0,0,A,A,0,No Deposit,0,Transient,103.51925042241069,0,5
1,119,2,1,2,1,0,0,0,0,A,D,0,No Deposit,0,Transient,54.8805625491862,0,0
1,0,2,1,2,0,0,0,0,0,D,A,0,No Deposit,0,Transient,219.12596161203322,0,0
0,215,0,1,3,0,0,0,0,0,C,A,0,No Deposit,0,Transient,116.53031615869521,1,0
0,85,8,10,2,0,0,0,0,0,A,A,1,No Deposit,0,Transient,103.84054028710034,0,0
0,287,2,1,1,0,0,0,0,0,A,D,1,No Deposit,0,Transient,124.40625285973557,0,1
1,396,1,1,2,0,0,0,0,17,A,A,1,Non Refund,91,Transient,64.70370504917345,0,2
1,23,2,0,0,0,0,0,0,0,A,D,1,No Deposit,0,Transient,83.39388659766621,0,0
0,1,2,3,2,0,0,0,0,0,D,A,0,No Deposit,0,Transient,140.47920249925423,1,1
1,65,4,2,2,0,0,0,0,0,A,A,2,No Deposit,0,Transient,76.81036585273962,0,1
0,132,1,1,2,2,0,0,0,0,A,A,0,No Deposit,100,Transient,151.32948520148784,0,0
1,4,2,8,2,0,0,0,0,0,A,A,0,No Deposit,0,Transient,136.93612142389932,0,0
0,10,4,2,2,0,0,0,0,0,A,A,0,Refundable,0,Transient,167.65508271193136,1,1
0,0,2,3,2,0,0,0,0,0,A,A,1,No Deposit,0,Transient,130.46609159432847,0,0
0,154,0,1,2,0,0,1,0,0,E,D,0,No Deposit,0,Transient,121.27707132567986,1,0
1,113,0,2,1,0,0,0,19,0,A,A,1,No Deposit,0,Transient-Party,80.62195936492263,1,1
0,292,0,5,2,0,0,0,0,0,A,A,0,No Deposit,0,Transient,116.94154560292259,0,4
1,364,2,4,2,0,0,0,0,0,A,B,0,Non Refund,0,Transient,29.39566359427679,0,1
1,59,1,5,2,0,0,0,0,0,A,C,1,Non Refund,0,Transient,88.49524962484625,0,0
0,104,2,1,2,0,0,0,0,0,H,A,0,Non Refund,0,Transient,89.32097147518087,0,0
0,244,2,1,2,0,0,0,0,16,A,C,0,No Deposit,61,Transient,60.11982979263736,0,0
0,228,5,1,2,0,0,0,0,1,A,F,1,No Deposit,0,Transient,50.74480527784905,0,0
0,343,2,1,2,0,0,0,0,0,A,D,0,No Deposit,0,Transient,76.92414987040098,0,0
1,265,0,1,1,0,0,0,0,0,D,D,0,No Deposit,0,Transient,85.00932866952674,0,0
1,0,0,0,3,0,0,0,0,0,A,A,5,Non Refund,0,Transient,58.266537619651814,1,1
0,38,1,16,2,0,0,0,0,0,A,A,0,No Deposit,0,Transient,104.41543515396344,0,0
0,29,1,2,3,0,0,1,0,0,A,D,2,No Deposit,0,Transient,114.02754072970849,0,0
0,257,0,2,2,0,0,0,2,0,A,B,0,No Deposit,53,Contract,74.29018866627197,0,1
0,197,0,5,2,0,0,0,0,0,H,A,0,No Deposit,1,Transient,91.78600987063228,0,4
0,238,2,4,2,0,0,0,0,0,A,E,0,No Deposit,0,Transient,67.79998931980067,0,1
0,89,1,1,2,0,0,0,0,0,F,D,1,No Deposit,0,Transient,226.18666454905417,0,3
0,52,0,2,3,0,0,1,0,0,B,A,1,Non Refund,0,Transient,50.86198438874537,0,1
0,223,2,4,1,0,0,0,0,0,A,A,0,No Deposit,0,Transient,64.99543326402252,0,0
0,153,0,0,2,0,0,0,0,0,A,A,0,No Deposit,0,Transient,111.5228708350655,0,0
0,3,0,5,2,0,0,0,0,0,E,A,0,No Deposit,50,Transient,91.53344831775955,0,1
1,0,2,5,2,0,0,0,0,0,A,D,2,No Deposit,0,Transient-Party,61.39817981890531,0,0
1,0,0,2,2,0,1,0,0,0,D,A,0,No Deposit,0,Transient,103.41511869833582,0,2
0,342,1,2,2,0,0,0,0,0,A,A,1,No Deposit,0,Transient-Party,95.71021161400657,0,1
0,0,0,1,2,0,0,0,0,0,A,A,0,No Deposit,0,Transient,121.87805494473797,0,0
0,378,0,1,1,2,0,0,0,0,A,D,0,No Deposit,0,Transient,103.53077942334356,0,2
1,40,0,1,1,0,0,0,0,0,D,A,2,No Deposit,0,Transient,54.59017174328281,0,2
1,258,1,6,1,0,1,0,0,0,A,A,1,No Deposit,0,Transient,59.68772137185816,0,0
1,175,0,8,1,0,0,0,11,0,A,D,0,No Deposit,0,Transient-Party,74.54886652779737,0,0
0,326,1,0,2,0,0,0,0,0,A,D,0,No Deposit,0,Transient-Party,72.00112172144853,0,4
0,383,1,0,1,0,0,0,0,0,D,A,1,No Deposit,0,Transient,94.94981133593154,0,1
1,333,5,2,2,0,0,0,0,0,F,D,1,Refundable,0,Transient,120.20158043180058,0,0
0,243,1,2,2,0,0,0,0,0,A,C,0,No Deposit,0,Contract,194.79618985755533,0,2
0,11,1,4,2,3,1,1,0,0,A,A,6,No Deposit,0,Transient,87.2148764859966,0,0
